train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.8};12;12;16173.28639649193;0.11405030083688807;81.81818181818181;9.862986994833655;128131.22738285943;1.1427390750111612;107512.44;105262.57;106224.71;103650.85;106392.33;107090.65;106989.59;109623.266;107386.055;106664.65;107855.45;107749.81;[11567.379499999995, -13194.235172500004, 23786.5571625, 28034.59593750001, 21886.679074999993, 25977.088862500008, 8231.067450000002, 6328.044175000003, 7250.229712500004, 7047.025462499994, 10276.264274999994, 3132.546199999997];-2.3865008156631085;0.14558275798348114;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;MG;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;6355.255944592309;0.0445054517208423;54.54545454545455;0.7152282325596165;125210.0120808392;inf;105713.84;107453.85;101205.43;105967.15;106324.52;104174.86;108593.98;105215.48;106498.484;107768.87;106912.47;106600.32;[2704.7740500000073, -13006.623302499996, 8384.930812499995, 2604.478362499998, 3757.5779624999996, 12498.198625000005, -1971.568962499994, -299.4348624999984, -1510.785075000007, 2825.897312500005, -0.2875499999936437, -6820.823932500003];-2.3307438869330466;0.16224405417538423;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MG;glp;ARIMA;{'subsample': 0.9, 'n_estimators': 50, 'learning_rate': 0.2};12;12;9815.327810353992;0.08349779454526572;63.63636363636363;-6.153196125878332;154907.52532949945;1.3354333344298708;110230.734;111476.44;108851.73;110801.195;111878.34;110469.65;111559.28;112667.66;112152.7;113015.234;112874.65;111681.09;[4362.555525000003, -6989.287100000001, -5724.597962500004, 1647.9713875000016, 5340.654450000002, 581.4620624999952, -11034.462450000006, -12744.667119999998, -13017.364354999998, -8375.120274999994, -16591.295177499996, -14993.564759999994];-2.3611205127523855;0.1530117883834609;15;357;-3.44880082033912;-2.869670179576637;-2.5711012838861036;False
1990-01_2020-02;2020-03_2021-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.9};12;12;6259.438378595958;0.04916159230506278;54.54545454545455;0.2981586964515636;123334.95802949285;1.1081566041964754;107425.945;109583.15;109184.1;108573.52;111188.25;111016.4;112128.69;112087.24;110967.42;108926.336;107412.625;106643.42;[10544.023887500007, 3420.7301624999964, -435.5073624999932, 5060.532762500006, 9934.621400000004, 4254.355162499996, -5180.935700000002, -3723.2330875000043, -8461.421875, 1162.7781625000061, -3963.670299999998, -8679.351225000006];-2.3029108351288983;0.17103088787855036;15;345;-3.4494474563375737;-2.8699542285903887;-2.5712527305187987;False
1990-01_2019-02;2019-03_2020-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;9009.320268031235;0.07090584159520905;36.36363636363637;-3.9574523251864653;248533.57526109883;1.809780325826071;110727.08;109144.72;108010.04;108033.13;108288.56;114443.22;116716.61;117804.17;116773.26;115977.02;113288.8;115411.46;[-6528.335324999993, -1321.7948500000057, 4836.7924375, -1387.978812500005, 13390.015400000004, 1495.5982499999955, -10690.964475, -5244.728075000006, -11861.650912500001, -6014.762537500006, -12480.599375000005, -15759.192817500007];-2.2419321999284136;0.19137985061525592;15;333;-3.450141065277327;-2.870258846235788;-2.571415151457764;False
1990-01_2018-02;2018-03_2019-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.8};12;12;11792.51800391305;0.09498748240452237;36.36363636363637;-5.673479327958904;325434.6582338328;1.4128022082101237;115506.28;114548.44;114202.81;114901.23;119912.04;120040.24;121106.484;116490.43;116048.06;117126.5;118235.734;115531.375;[-6151.150850000005, -4636.250899999999, -17185.680250000005, 21338.588637500012, -6033.805362500003, 3336.413612499993, -12604.413675000003, -7042.982187500005, -5029.265400000004, -11604.987299999993, -14465.935475000006, -15280.755399999995];-2.064794313820069;0.2589045020586741;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MG;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.8};12;12;10560.69691670947;0.08853183996789095;54.54545454545455;-3.8318046913860404;208266.40507644828;1.1555698928153948;116700.055;116606.79;114730.73;118643.22;118120.15;121265.875;124005.37;122363.56;119750.13;120673.51;119755.43;118852.27;[7508.346012499998, -11729.421262499993, 7060.726337500004, 4418.495850000007, 7093.686662499997, 6555.2647, -8796.777787500003, -13607.276599999997, -8142.663912499993, -10036.978012499996, -15421.157987500002, -17729.0470375];-1.9265460298710224;0.31967789648054257;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;9491.569125414158;0.06730618795769401;27.272727272727273;1.108918792746622;299185.6545310972;0.6328577822781802;115314.76;115506.89;115512.47;115539.84;117301.69;116969.086;117805.2;117536.77;117238.12;116668.06;118248.79;117287.305;[3735.082787499996, -3211.566325000007, 4892.696150000003, 11253.241349999997, 8328.577000000005, 14154.894162499986, 547.3113750000048, -3272.5922374999936, 1768.6926125000027, 9825.674799999993, -17530.8144625, -14781.8282875];-1.8528339947803802;0.3545641323506305;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;MG;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.9};12;12;6567.225597477285;0.04650540867692027;27.272727272727273;0.599727884415125;206947.68250558784;0.5798957189299532;114384.25;114829.664;114472.625;113644.945;114331.414;119693.61;118747.52;120922.1;115858.695;113847.516;115296.85;109998.37;[140.20110000000568, -621.6821625000011, 4026.675700000007, 8912.788387499997, 13116.160237499993, 4055.0084250000073, -5182.034337499994, -7913.447562500005, -8529.059412500006, 5482.323174999998, -6277.0345625000045, 1152.6473125000048];-1.9533130081290346;0.30741114652719725;15;285;-3.4535050041524245;-2.8717352599720294;-2.5722024776854417;False
1990-01_2014-02;2014-03_2015-02;MG;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.8};12;12;6556.685223286523;0.04782257754213284;63.63636363636363;0.7415048284416725;103377.54502818834;0.6761234383643053;106763.1;109183.945;107811.625;109445.48;116889.195;117983.81;116318.53;120328.805;115837.3;117041.305;115160.92;108993.266;[2076.070537499996, 1492.5908875000023, 10690.065199999997, 4781.4654374999955, 10726.637987499998, 5270.111399999994, -465.1218499999959, -4008.585487499993, -7198.126575000002, 2820.287712499994, -11550.039675000007, -4462.426825000002];-1.8037413632434076;0.3786057990662145;16;272;-3.4546223782586534;-2.8722253212300277;-2.5724638500216264;False
1990-01_2013-02;2013-03_2014-02;MG;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;6502.597465086555;0.05113673582688264;36.36363636363637;0.03120816768651602;179326.76865947794;0.7576282098511787;108335.08;111315.586;110944.2;111893.15;114871.53;114510.29;116650.46;115983.85;116663.484;114989.95;113843.7;113924.61;[-4345.326325000002, 3366.9472625000053, 6090.885274999993, 3004.156462500003, 9458.878150000004, 8889.8160375, -6640.105837499999, 4106.824737500006, -7090.938074999998, -33.34762499999488, -5263.583524999995, -11118.417375000005];-1.8765102144806;0.3431908370001536;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
