train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SE;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;1314.8350423497905;0.09577674185265578;45.45454545454545;3.1248477577409917;31111.715744265188;1.339577581245113;10710.576;10396.341;11110.545;10542.888;11190.616;11508.22;12468.141;11813.64;12739.454;12495.734;12173.163;11976.4;[2718.0741881249996, 1525.1301896874993, 1038.8119581249994, 1760.7699146875002, 784.0993690625, 1166.3708534375, -889.2674349999998, 206.78970156250034, -1215.3961315625002, -819.9227850000007, -509.29533593750057, -1278.4638006250007];-0.6982729134309826;0.8471963851793406;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 200, 'subsample': 0.7};12;12;1400.1072855767006;0.10587714650701585;81.81818181818181;10.883675829713493;11088.009251543373;inf;9929.635;9941.893;10043.09;10141.559;10453.042;10869.65;10357.956;10779.23;10470.75;10666.023;10656.444;9987.233;[1218.4503743749992, 217.6400318750002, 865.8612462500005, 960.4269162500004, 1081.7478678125008, 2050.1304093750005, 1923.8011953125006, 1446.3202512499993, 1440.3731900000002, 2416.6559125000003, 670.7422540624993, 888.0419615624996];-1.4034360524067293;0.5806277277031446;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;801.2998891139757;0.06901719427960351;54.54545454545455;-4.7983517162259774;15796.806892883445;0.523817571357762;10424.003;9960.233;10816.702;10874.231;10939.164;11049.742;11095.668;10972.935;11288.084;11093.526;10965.163;10504.053;[448.61120031249993, 424.9640615624994, -467.6894684375002, -287.0049953124999, 313.9844874999999, -487.6334874999993, -745.5049287500005, -751.6682703125007, -1502.7506513749995, -393.65317718749975, -1348.4656219374992, -1154.6813573750005];-1.1593669637780857;0.6908263795043167;16;356;-3.448853029339765;-2.869693115704379;-2.571113512498422;False
1990-01_2020-02;2020-03_2021-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;736.0365545501004;0.057729983678477204;81.81818181818181;4.731213483653883;5813.63885185095;0.6221615638793758;10012.215;9581.051;10770.933;9857.155;10987.154;10754.845;10217.158;10507.749;10164.105;10707.81;9685.079;9855.611;[763.4681262499998, 1007.3984987500007, -23.691677187500318, 1532.0440065625007, 770.890993125, 704.8491134374999, 655.3436068749998, 696.4611165624992, -184.90800474999924, 293.25201968749934, 409.8882884374998, -511.5932121250007];-1.4847798933917946;0.541026623755489;14;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;False
1990-01_2019-02;2019-03_2020-02;SE;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 200, 'subsample': 0.9};12;12;548.7766336063218;0.042280822442892024;27.272727272727273;-1.2834748071940607;17293.360601965775;0.33830403750043453;9973.599;9564.767;9724.953;10959.975;10936.835;11267.654;11334.906;10572.165;11187.719;10602.961;9956.25;9564.929;[-246.61493681250067, 373.2080364374997, 467.3747750000002, -977.4256963749995, 404.82083906250045, -9.194156875000772, -872.0874100000001, 527.6356809374993, -991.6462900000006, 39.55174249999982, -105.13405799999964, -202.69682693749928];-1.061172101190066;0.730305152269557;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;763.0748840480202;0.05332745446613237;54.54545454545455;-0.6381517295580302;15037.811824035385;0.44667920595668836;9737.828;10281.462;10840.58;10761.524;11025.634;11383.608;10586.515;11508.87;11166.866;11502.603;10170.197;9528.065;[-41.453125, 919.6793859374993, -1793.2739191250002, 760.1223259375001, 590.7665709374996, -229.00875843749964, 426.33499156250036, -368.5748271875, 219.77690906250064, -1255.9956590625006, -36.34581562499989, -6.813617687499573];-1.1864507495324128;0.6793969317965307;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;693.8070504686041;0.05992783202030313;81.81818181818181;-1.279017219752442;5480.7896824792715;0.6567654448739462;10646.419;10442.637;10636.325;10701.243;11129.298;11303.077;11253.05;11105.605;10896.292;11169.272;10587.731;10267.755;[418.3199346875008, -599.3033857499995, 314.7037946875007, 542.1119959374992, 267.83257843749925, 539.7352715625002, 822.1649053125002, -445.5064387500006, -361.8339821874997, -1086.4427109374992, -720.5991993125008, -1334.6588688124993];-1.0049483528630971;0.7514552271395889;16;308;-3.45176116018037;-2.870970093607691;-2.571794416006072;False
1990-01_2016-02;2016-03_2017-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.9};12;12;565.0776461429211;0.04677413265150047;72.72727272727273;0.6084474009365798;6685.24638768381;0.5681497332976728;10864.099;10796.567;10992.823;10499.658;10741.235;10913.4795;10790.554;11364.343;10092.468;10664.1875;10480.052;10248.806;[-227.22906281249925, -435.9876728125, -283.2507821875006, 357.42875687500054, 754.0055884374997, 979.7469578125001, 343.2741890625002, -665.2848034375002, 668.3166465625, 314.1385900000005, -171.15863781249936, -847.6752290625009];-0.9068214319511839;0.7857177224280775;16;296;-3.452636878592149;-2.8713543954331433;-2.5719993576515705;False
1990-01_2015-02;2015-03_2016-02;SE;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.8};12;12;1015.0023759463784;0.07703627798588354;54.54545454545455;-7.404793246048297;20013.05262790803;0.8563352713700547;10553.783;10584.5205;12024.434;12137.254;12183.022;12530.04;12446.672;12180.499;11541.558;11242.321;10475.843;10255.456;[173.4939668749994, -164.30130781250045, -1783.5513437499994, -1288.0183962499996, -567.5641309375005, -1102.7664890625, -1528.3512250000003, -1106.6928634375, -1448.8420371875, 0.36530093749934167, -445.31197343749955, -263.2875766875004];-0.08044093169913318;0.9513521797253822;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;SE;glp;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.8};12;12;1439.196834707325;0.10230065054167549;36.36363636363637;10.487869595526874;39724.14963118956;1.7217032678292832;10285.31;9920.818;10671.575;10753.044;10658.11;10744.148;10526.506;10780.776;10543.554;10309.05;10682.148;9871.73;[721.0473096874994, 1238.5765706250004, 1299.6874846874998, 726.8473546874993, 2344.0997884374992, 1885.9457624999995, 2200.1916006249994, 1932.6747228125005, 1222.3013590624996, 1203.2545453125003, 61.871492500000386, -103.12358474999928];-0.4311951580741951;0.9047585703425166;15;273;-3.45453261164607;-2.8721859575020017;-2.572442854861866;False
1990-01_2013-02;2013-03_2014-02;SE;glp;ARIMA;{'subsample': 0.7, 'n_estimators': 50, 'learning_rate': 0.4};12;12;555.6684693243026;0.04530994517435275;63.63636363636363;2.160467891923297;8761.124822846581;0.44133385906731926;10365.852;9716.389;10430.277;10254.725;10197.592;10661.964;10318.879;10495.497;10183.781;10168.514;10848.097;10119.184;[-702.6613455000006, 413.9883081249991, -14.678243750000547, -63.11940937500003, 802.3520431249999, 711.9872228125005, 456.6084137500002, 715.8881996875007, 418.56236999999965, 711.9799381249995, -24.140159687500272, -693.9136657500003];-0.7612563162692946;0.8302387360821322;15;261;-3.4556556713934934;-2.872678352489859;-2.57270548832225;False
1990-01_2012-02;2012-03_2013-02;SE;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.9};12;12;590.1165788799701;0.04434212337972959;18.181818181818183;1.6246415944663992;20919.73587654081;0.32362742745993944;9728.282;10110.002;10047.391;10217.911;10132.446;9994.129;9996.496;10183.499;10307.193;9978.792;9907.229;10045.184;[724.5692234375001, -720.7754181250002, 175.91345499999989, 4.949797187500735, 331.51151093750013, 1206.0214537499996, -34.52277775000039, 772.9520665625005, -74.351049375, 267.59749781249957, 236.9653243749999, -898.35388375];-0.7693080873087188;0.827971785805588;15;249;-3.4568881317725864;-2.8732185133016057;-2.5729936189738876;False
1990-01_2011-02;2011-03_2012-02;SE;glp;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;356.0396484882949;0.02843765868288009;72.72727272727273;-0.329061047676632;4209.347971576403;0.18144235273380674;10103.951;10096.6455;10393.853;10347.418;10405.832;10348.746;10266.891;10361.267;9776.547;9783.772;9405.792;9522.774;[-203.55729187500037, -513.5138328124995, -221.92631906250062, -386.17560975000015, -187.33928125000057, 568.9368962499993, -39.70765500000016, -141.25754156249968, 78.91405699999996, 746.9503690625006, 136.17177581249962, -233.74180506250013];-0.916152966806848;0.7826064829806495;15;237;-3.4582467982399105;-2.8738137461081323;-2.5733111490323846;False
1990-01_2010-02;2010-03_2011-02;SE;glp;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;516.8220395989556;0.040417993111694105;45.45454545454545;0.8340838452367447;12216.754759670022;0.2604567524109872;9528.983;9706.587;10248.372;10243.71;10290.835;10289.665;9969.763;10132.656;9784.62;9734.371;9945.612;9962.728;[869.9912415625004, 133.41127393749957, -395.56615931250053, 0.3806190625000454, 808.8630590624998, 277.8150309374996, 451.7898446875006, 27.488680000000386, -17.971566187499775, 360.50209625000025, -568.1641516875006, -940.5841880624994];-0.025494916112730276;0.9563722001483042;15;225;-3.4597521044060353;-2.874472927517147;-2.5736628197530864;False
