train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.8};12;12;40987.72516079827;0.04360197727850473;90.9090909090909;4.478292978675278;162121.35228076996;0.7711158544205755;606340.6044339626;597561.1128050564;641160.3525303168;644914.0385370877;686179.8788461154;710247.8034822266;697058.2746597439;718053.5435149523;677218.2634295356;644442.3028170356;612087.5020021918;583543.0729417752;[93952.29156603734, 7242.723194943625, 65829.93046968326, 44462.95046291221, 29374.838153884513, 53858.593517773435, 25093.798340256093, 6548.661485047662, 5999.064570464427, 8644.077182964422, 5837.376997808111, 19720.61905822484];-0.7555464724837699;0.8318326112408068;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.9};12;12;40346.664810903596;0.047039329011604264;90.9090909090909;3.7405696728205347;159645.79444364927;inf;587249.8699713534;593870.5177966222;643480.7227468911;622248.2161087191;667625.1425654478;674358.632026125;662312.8460511921;704390.4555522674;643116.79609716;593480.212435332;545143.3470874825;559352.2415614072;[99150.63902864652, 41221.05820337776, 30154.11725310888, 21291.01489128091, 14515.142434552195, 51748.161973875016, 21584.878948807833, -9862.506552267354, -17017.22609716002, -2832.6274353320478, -11233.048087482457, 52593.807438592776];-0.9959164148393119;0.754750779575577;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;65582.01500098099;0.0873397144092894;63.63636363636363;5.976503012673584;1035130.5626373816;2.08995071311107;524202.454539316;536826.9348073716;555486.7210198715;546430.0297562605;622564.1353816458;627806.5252335275;618184.4115829271;684203.8894479271;631351.9398373716;580589.1641590382;557751.0774745938;546994.0292601493;[139856.996460684, 72736.84319262847, 67949.70998012845, 79199.24424373952, 65086.067618354224, 73732.96776647249, 44811.6914170729, -33652.47944792709, -37021.540837371605, 9033.49984096177, -39759.79547459376, 5033.22673985071];-0.5283006907941088;0.8863744899583152;10;362;-3.448544133483233;-2.8695574079525565;-2.5710411593052713;False
1990-01_2020-02;2020-03_2021-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;30259.05096077488;0.046244754979681495;72.72727272727273;2.097745721632304;357948.83631181484;0.4014328573812464;541840.9278268359;531662.2362593071;572346.3051213761;550801.3815153417;612196.5716057823;645703.6576402267;607264.9625817209;642173.24045356;572313.2138018359;558154.2521662037;535106.4037914911;528015.0347363186;[18849.99517316406, -40730.79225930711, -33203.31912137603, 40044.62548465829, 40096.22039421776, -274.5186402266845, 50367.69841827906, 20076.95254643995, 20638.140198164154, 15681.495833796333, 29517.27220850892, -13269.776736318658];-0.6565398330937702;0.8576879237535765;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.8};12;12;37414.38303424043;0.05475552697022005;81.81818181818181;1.177258081973646;295449.39438822045;0.4140222573879497;492844.7592501351;502554.2639882304;593147.3575998375;518175.41496918275;575460.9476791684;651034.3592837661;586597.8438727541;651779.6400272185;594246.0064682899;537175.6906269209;569277.1089233494;547675.669811147;[48856.25674986484, 64132.09501176968, -5033.84059983748, 42597.9390308173, 56114.385320831556, -16427.177283766097, 9534.796127245878, 2949.6939727815334, -11339.156468289904, -18429.322626920883, -57394.98392334941, -34315.58381114702];-0.8039267556578146;0.8179658906555747;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 200, 'subsample': 0.7};12;12;41548.693342189996;0.056044098729410324;72.72727272727273;-0.5252436297842763;491675.6474369795;0.39305243578599763;540184.1918231923;549599.0597449515;559485.1776003527;563713.8845120812;603764.3313744268;624042.3141970459;604927.7494807539;649775.5490051367;594246.6685125441;552060.2190238095;535217.3057164021;513446.73650930333;[45343.331176807755, 18078.199255048414, -100245.84660035267, 69809.5504879189, 5674.468625573209, 16359.12980295415, -24675.13548075396, -25971.436005136697, -39864.86851254408, -11932.77102380956, 1835.3042835978558, 9587.456490696699];-0.5463207046946045;0.8826560140120087;10;326;-3.4505694423906546;-2.8704469462727795;-2.5715154495841017;False
1990-01_2017-02;2017-03_2018-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;28301.69819715414;0.041413807559208905;90.9090909090909;0.7265063036414444;111916.73269822286;0.3123662253722435;547594.2647786839;544565.8039947095;565054.5953572096;547371.8492033634;591121.7538724398;616710.5006762978;601151.0555408634;632347.4025963121;582011.0828456711;560158.2194988762;529746.7786257993;515019.4430097737;[57524.263221316156, -19163.609194709454, 21771.278642790392, 50031.806096636574, 11725.197027560207, 12912.011223702226, 12396.6741591366, -17242.29859631206, -4455.465145671158, -33782.1117988762, -11579.835625799315, -30133.519009773678];-0.4806170370878777;0.8957437730848541;10;314;-3.4513486122290717;-2.870789013306053;-2.5716978530569192;False
1990-01_2016-02;2016-03_2017-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;36932.241169143264;0.058329767210992624;72.72727272727273;-1.1411622458748403;437082.49336890643;0.3912486018381323;539502.670567938;535617.179058438;559943.7800671047;542025.5258989381;572683.7359642457;623316.713494374;608033.5545231047;636600.170718938;612679.988543938;566888.740034938;549786.7281132714;528043.3380147713;[46603.639432062046, 36860.90694156196, 12187.031932895305, 37260.15910106199, 16828.254035754246, 5219.085505626048, -3416.227523104637, -49380.724718938, -60079.453543938, -42281.12203493796, -47328.20541327144, -30044.42981477134];-0.22113467427323874;0.9359550838403663;10;302;-3.4521902441030963;-2.871158406898617;-2.5718948388228586;False
1990-01_2015-02;2015-03_2016-02;MG;oleodiesel;ARIMA;{'subsample': 0.8, 'n_estimators': 100, 'learning_rate': 0.3};12;12;64538.10268699834;0.09679098072006288;63.63636363636363;-9.389783132279799;1018917.9988331707;0.7092341865968745;597677.191653588;595669.8154081019;599736.6019015047;596651.9563129629;633374.0265620186;671700.9513875186;680817.1660140046;708520.4758285879;661875.4940733797;630364.7562706019;585754.2480956019;561050.5039921296;[-20975.34195358795, -24566.83440810186, -30445.169901504647, -8701.906312962878, -11490.852562018554, -69254.02568751853, -74838.16181400465, -73613.45452858787, -102515.2533733797, -79501.39507060184, -119249.36609560193, -30622.9209921296];0.5303787432984595;0.9857677647453831;10;290;-3.453102162983312;-2.871558538275452;-2.5721082282996433;False
1990-01_2014-02;2014-03_2015-02;MG;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.7};12;12;39293.52440535089;0.05506588588476721;72.72727272727273;-1.28221847809125;464971.9877702647;0.8302140332134931;613489.9453196595;602102.8504475581;612419.9235856016;612526.7728736451;628546.6317785666;673181.4689226638;655078.7665363263;676605.0138048045;652409.3616924856;627838.0315395871;593998.5364403118;560015.00955879;[-14752.056319659576, 12591.139552441891, 50057.81341439835, -4953.306873645051, 29327.017221433343, -2535.1089226638433, 21413.00946367369, 34178.3961951955, -60763.24869248562, -60649.51653958706, -28742.993740311824, -70224.04455878999];2.049498245521286;0.9987339166697188;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
