train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.8};12;12;37587.651027651686;0.092648018473463;72.72727272727273;6.156508297103659;445398.0357947489;1.082434114468699;307687.36353898427;253483.25882700508;254802.54582361967;281605.4427246613;339210.5462483908;332796.1866453605;344403.73260200507;341368.3695400259;327010.16128768213;289679.90316111967;321128.0655449738;333540.61155617173;[12031.72546101571, -22364.259827005066, 54228.35417638035, 78245.71127533866, 39053.06675160921, 45988.99835463951, 9958.867397994909, -1964.7415400258615, -38582.72828768211, 4785.376838880358, 31555.570455026173, 31551.54244382825];0.5693225423108847;0.986834561150031;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;False
1990-01_2022-02;2022-03_2023-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;31401.751797479395;0.08361438461292679;54.54545454545455;2.2831418589088206;619200.2799462525;inf;315823.1401963045;257417.44271539047;231152.84364334747;263786.5127078636;301333.0263080904;325062.1154974133;331962.5524938851;335964.21222291735;286916.2099261432;287587.32710329373;306453.4664148528;347116.79139549803;[-14061.640196304477, -13851.827715390478, 46220.15635665253, 66919.25829213642, 47177.030691909546, 6660.96750258666, -4286.848493885074, -8827.806222917337, -19805.51792614319, -25759.65610329373, -24706.90441485285, 28216.127604501962];0.5004536585369435;0.9848868783717931;15;369;-3.448196541708585;-2.869404683789669;-2.5709597356805545;False
1990-01_2021-02;2021-03_2022-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;46420.631718835524;0.14164332884234157;72.72727272727273;10.035905795323718;551050.3469086625;1.7000196844800555;269496.15123978717;209141.50599423161;197234.93971284275;258169.3017156205;264590.90361947357;274166.71016571013;313581.3366445094;305650.71721450944;260939.1715981205;258829.59867284272;288682.89242395386;298752.0678733983;[68721.12476021284, 38593.14300576839, 48419.59128715724, 43072.787284379476, 83067.38238052645, 51399.140834289894, -19374.33564450941, 12970.138785490592, -18878.171598120505, -36661.078672842734, 42299.21157604613, 43260.382126601704];0.016126537973095503;0.9598455931712796;14;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;False
1990-01_2020-02;2020-03_2021-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;34166.751084069816;0.10414705783958332;72.72727272727273;4.286480497883136;405032.15335794043;0.6448179605402156;250125.03544287116;202934.01650350334;195571.74963051485;227555.72671959532;269001.92734405893;266155.27713211445;271964.49951384816;263562.93088367576;256506.50623310104;234089.82327160682;274197.75610752637;308642.67309258383;[-5796.551442871161, -11396.099503503356, 40677.77036948514, 67388.28128040466, 60133.75065594108, 16947.46986788552, -492.2705138481688, 33660.896116324235, -22797.50723310103, -23206.677271606808, -35976.84610752636, 16120.712907416164];0.03219273778960209;0.9611148001389812;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;32034.682548818575;0.11809180688485267;54.54545454545455;3.2618920117466947;632159.7188483727;0.49186414165310244;265372.6360499367;200461.25917969862;178679.76890350814;210020.05871749623;252803.99615723352;253292.3133862565;274207.86716957955;263412.8080094605;221109.5851392224;226539.6796999367;256498.33801809148;282659.40831957955;[-44288.0000499367, -8114.277179698634, 35680.415096491866, 51392.72528250379, 37623.878842766484, 24973.1986137435, -21016.890169579536, 26346.108990539506, 1212.1228607775993, -48157.61669993671, 18477.60098190853, 23151.390680420445];-0.15790210063603918;0.943357064547154;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;False
1990-01_2018-02;2018-03_2019-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.7};12;12;28507.520243000366;0.09306902188847078;81.81818181818181;5.580011573418814;225588.10347204542;0.343435683306314;244623.48248128121;215149.37956214542;190870.7639743368;210149.1882459417;251209.02175373494;268001.95298052067;257865.17469362693;236061.8006332874;219505.46929547875;187965.91538097258;205454.29058205284;238079.40416662075;[7829.662518718775, -17629.47356214543, -24392.751974336803, 52149.11275405827, 23096.02624626507, 5072.793019479315, -8051.801693626941, 25995.86636671258, -4805.887295478751, 10454.422619027406, 60886.39841794717, 30433.287833379232];-0.3936865108790697;0.9111475791533163;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;False
1990-01_2017-02;2017-03_2018-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;16598.691618320918;0.06304697238111326;72.72727272727273;2.1975167329679546;196475.0994843866;0.17609321815044976;232320.71499263315;199971.71137949213;192065.77023237673;210928.18331218444;233630.5395109855;238240.19004601633;243194.74859295366;244214.65896506904;220287.12755705623;199052.2677234024;217864.26225673573;246675.79418109468;[6516.565307366865, -30765.85837949213, 11345.353067623277, 30243.895787815563, 23329.275889014505, 6419.523353983677, -5909.264092953672, 9248.192334930965, 1078.7864429437614, -15631.62072340239, 8482.945743264281, 15824.008818905335];-0.7227847383072682;0.8407591799282699;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;False
1990-01_2016-02;2016-03_2017-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;20011.24557186224;0.0887253145158376;90.9090909090909;-4.300760378355154;79543.01519529935;0.20274809534611574;238444.00888929167;217626.67802479165;207817.19495629167;223056.45449129166;247067.25156884294;252423.68389640705;251528.19722745835;244021.80639095834;217405.11259429166;179144.34500795833;200134.17349829167;230907.546579125;[8219.587110708322, -24428.698024791636, -16491.063956291677, 12867.108508708334, -8920.88656884295, -17866.897896407056, -19843.398227458354, -19182.826390958333, -41821.314594291645, -16449.855007958337, 17717.17100170834, 14473.805620875006];-0.14648259764078686;0.944607328823641;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;False
1990-01_2015-02;2015-03_2016-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.7};12;12;18092.30158059447;0.07137585330294839;72.72727272727273;-0.9755196701635718;214219.91692997256;0.20065069536047436;232781.58241867708;209540.7231516632;189345.83949923265;219265.63126451042;238637.7467687604;242571.91943092708;266168.3599627743;255518.13417076043;223788.60058221876;211521.85953221875;213101.66428673264;228141.18893152432;[25793.826281322923, -11352.53215166321, -6075.602499232657, 11036.40773548957, 18691.782231239602, -10052.33113092708, -28771.38496277432, -4712.907070760441, -11884.60838221875, -17906.515932218754, -19795.290286732634, 28651.05406847567];-0.6081209836913252;0.8691364382737046;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;MT;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;15935.376695362747;0.06285248232256417;63.63636363636363;-1.5224549323028655;251351.79542279977;0.1582946875070793;251467.64458821205;223427.1339527048;205686.87169582077;209113.7051411106;231696.69746069092;242597.94479957983;249022.0301831396;261972.98315741497;224696.26443640047;194308.16799292222;198919.87812806712;230122.9909639367;[1995.7684117879544, -29462.93295270481, 9538.076304179238, 7668.407858889404, 19983.52253930908, 2970.889200420177, -4755.462183139607, -3041.330157414981, -15095.909436400456, -20378.89599292222, 15961.40077193288, -26218.7759639367];0.272305831022453;0.9760376014780973;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
