train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.7};12;12;18093.843400844067;0.04558624244489867;27.272727272727273;2.639017174203707;570166.8898678537;1.0468598254561938;227440.86;241371.98;238340.23;238781.27;248814.84;253720.05;254453.08;263517.47;255498.55;246814.77;245505.9;253825.31;[49264.779625000025, -2751.331375000009, 22861.075624999998, 4149.189374999987, -6949.440750000009, 23253.064124999975, -1177.325125000003, -16215.993749999994, -2767.207874999993, 8197.847375000012, 4659.454750000004, -2072.7314999999944];-0.2047123414296113;0.9379575829234402;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;False
1990-01_2022-02;2022-03_2023-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 100, 'subsample': 0.9};12;12;11701.45653419557;0.04033854307969195;54.54545454545455;0.15872911263347722;230517.88039513832;inf;244942.38;245396.5;239672.98;239513.42;249044.94;253485.69;252326.19;253550.89;251892.3;243758.08;249157.23;246330.25;[15027.162000000011, -770.997000000003, 16312.90062500001, -9807.371875000012, 8268.833500000008, 9815.292499999981, -2655.9695000000065, -4232.944625000004, 8926.752124999999, 3176.9058749999967, -18932.158375, -20408.133];0.13778753379617006;0.968548317396643;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;False
1990-01_2021-02;2021-03_2022-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;34008.00891917228;0.12238853434961548;54.54545454545455;12.399491041002584;671163.7732903644;3.9265437049687764;213248.0;201442.05;208512.05;198038.62;224334.78;214313.81;217222.3;231342.02;217484.33;230189.58;226241.98;216665.73;[54053.10399999999, 54255.314125000004, 31787.108125, 36771.478, 38687.041749999975, 42484.356499999994, 24438.297125000012, 13385.307375000004, 29226.166874999995, 15361.561875000014, 6430.84262499999, 21002.15062500001];-0.6770077004323247;0.8526155181555332;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.7};12;12;12806.61838554749;0.047944005892959364;81.81818181818181;-0.3125551501525298;101092.21895496307;0.32726426506128536;216419.03;212546.69;218679.3;215157.84;218043.72;211757.28;224114.05;225504.52;223564.77;219714.53;217293.36;209069.94;[-3796.5442500000063, -27112.337499999994, -16808.013875000004, -14398.91175, 1872.0652500000142, 10165.91175, 6845.76112499999, 19434.38837500001, 4383.588374999992, 692.0397499999963, -2507.6253750000033, 13091.595499999996];-0.6467168400641516;0.860072766518745;16;344;-3.4495033946549123;-2.8699787979596136;-2.5712658305164955;False
1990-01_2019-02;2019-03_2020-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;20074.899701219907;0.08083081038779995;36.36363636363637;5.3918560246962395;553875.8271195971;0.5862459598583861;205309.75;192828.03;183082.5;207951.23;212197.55;198781.61;217555.77;217167.53;213021.84;224108.03;203522.7;195137.89;[15318.910999999993, 29276.114750000008, 31831.655999999988, -6788.26337500001, 11795.456124999997, 32427.731624999986, -6044.914625000005, 20495.869750000013, 4171.777250000014, -22967.730249999993, 14389.137874999986, 16901.02137500001];-0.9754198963916558;0.7621234399096515;16;332;-3.4502011472639724;-2.8702852297358983;-2.5714292194077513;False
1990-01_2018-02;2018-03_2019-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 200, 'subsample': 0.9};12;12;17998.492785294016;0.07203711713856352;54.54545454545455;-0.4308692196144758;354816.29874361126;0.3319203716107672;207178.81;198807.39;202602.25;201281.69;203243.86;212025.48;207402.83;205464.69;212090.56;201955.2;216187.14;213392.9;[9063.529500000004, 14801.190375000006, -46254.975999999995, 26541.86249999999, 11582.027624999988, 10453.531625000003, -11631.017125000013, 4242.133499999996, 1437.9805000000051, -6551.331124999997, -13654.88062499999, -10676.769250000012];-0.888328875067521;0.7917915848740924;16;320;-3.450951662384033;-2.8706147570800784;-2.571604931640625;False
1990-01_2017-02;2017-03_2018-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;10720.621477134342;0.03356218869166142;72.72727272727273;1.6036886881867805;126760.70498947208;0.16645844661187945;197231.83;199450.66;204552.42;203330.61;206138.5;207830.27;207695.22;209652.5;201568.34;196294.02;197303.75;192026.22;[31307.487374999997, -9165.85785, 1890.137625000003, -5545.918375000008, 1776.7021999999997, 10078.788575000013, -156.51874999998836, -637.5954999999958, 8451.240649999992, -3339.5252249999903, -3957.4869999999937, 8790.442249999993];-0.9734278585147668;0.7628321037506058;14;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;False
1990-01_2016-02;2016-03_2017-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;10484.976497098685;0.04260219502743309;63.63636363636363;-0.0017974824673952395;165289.65394866452;0.17983810995291655;199608.34;199435.11;206579.98;207757.17;207292.4;213382.84;206342.67;188278.48;181077.62;197523.34;198053.88;201122.9;[20543.295249999996, 7078.171624999988, -2350.454375000001, -3158.247875000001, -5542.577250000002, -5044.480749999988, -363.9458750000049, 5570.469624999998, 17804.674, -9863.696750000003, -8857.524000000005, -15858.938449999987];-0.6778387388220618;0.8524066045482128;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;19568.61893187195;0.08276963409074771;36.36363636363637;-6.5366366956214135;539923.8431755563;0.3554867430820915;213942.23;216055.02;218355.8;207678.52;214364.16;212201.31;210362.86;222743.19;218570.34;219062.47;224560.4;201927.62;[18424.610524999996, -5413.388624999992, -20671.859874999995, -2975.1976250000007, -16799.22675, 591.3904000000039, -12606.880674999993, -24347.596099999995, -27264.522950000013, -26692.985749999993, -35735.863249999995, -4795.546000000002];0.40167673347729443;0.9815575371427492;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;False
1990-01_2014-02;2014-03_2015-02;SC;oleodiesel;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;14583.327132371736;0.06014234333177091;63.63636363636363;0.7028619644679361;230008.58214750097;0.34487380462053197;203970.53;216186.88;214345.3;207747.25;211402.38;202464.31;195793.7;225014.8;225680.42;209949.73;211237.69;196749.39;[11276.576750000007, 322.68799999999464, 4136.929124999995, -16591.704999999987, 9460.784000000014, 18549.500499999995, 25673.22187499999, 14581.271125, -16157.405874999997, -11537.624375000014, -1094.9998999999953, -20777.902624999988];1.0638679218241922;0.9948961408638614;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;False
