train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.8};12;12;5053.360934820688;0.12548025829374762;36.36363636363637;7.763033541014062;139525.17794311114;1.6100841858143637;20494.273;23278.27;23393.174;25647.316;28118.87;30086.764;30194.1;30700.568;30631.441;28619.629;28464.45;29588.78;[9905.2945625, 4017.8354687499996, 9755.613171874997, 7281.670593750001, 4462.297859375001, 1057.4003281250007, -1608.2646093750009, -2072.0443593749987, -2030.1294062499983, 410.7050937499989, -39.4392187500016, -3432.6612968750014];-2.827042376332718;0.05451357657587085;7;389;-3.447272819026727;-2.868998737588248;-2.5707433189709294;False
1990-01_2022-02;2022-03_2023-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;8413.243488558714;0.2474561526953739;54.54545454545455;24.193098914555286;166499.1496335777;inf;14237.283;15268.167;14868.772;13341.27;17689.676;22623.176;23688.178;29500.922;25254.137;25991.557;27917.674;23765.848;[13585.460796874999, 7921.8510078125, 10935.9625390625, 12257.561468749998, 14831.778218750002, 7639.621218749999, 5692.338265625, -626.1348749999997, 1775.29228125, 2653.926359375, 2938.8371718749986, 1502.1533437500002];-2.797560988769314;0.05862300894968946;7;377;-3.4478152097574224;-2.8692371153451903;-2.5708704003405356;False
1990-01_2021-02;2021-03_2022-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;10528.98967926453;0.45525419300531916;36.36363636363637;39.14447284844294;292218.1686696837;1.6363171096127995;4355.141;7250.4688;5692.5693;3672.3262;9070.027;9232.731;11749.407;15876.506;22817.078;22556.688;34252.473;15512.922;[10833.96488671875, 3792.9662499999995, 10419.2716640625, 14467.067828125, 14353.727656250001, 15515.817554687499, 14740.851773437498, 10494.617140625, 2727.6748750000006, 6576.585500000001, -5126.8936562499985, 5433.2591250000005];-2.684088491765169;0.07683235800180635;7;365;-3.4483935212959844;-2.8694912343676497;-2.571005879151811;False
1990-01_2020-02;2020-03_2021-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.9};12;12;15667.949936942297;3.2645234703250154;81.81818181818181;-107.60091581778508;145526.7193259701;0.9770913900992001;26322.752;26057.078;26108.215;25927.066;26779.81;27053.215;28319.865;28818.79;29274.984;29495.354;29195.744;27877.3;[-8628.779953124998, -24169.611125, -23947.23284375, -22849.30140625, -20271.486546875, -14774.29384375, -10520.985234374999, -8990.9000625, -11366.913375, -7107.790515625002, -7325.480140625001, -11725.99578125];-1.5585726362602954;0.504363316498008;10;350;-3.4491725955218655;-2.8698334971428574;-2.5711883591836733;False
1990-01_2019-02;2019-03_2020-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.7};12;12;3385.895713731717;0.10392527381745259;54.54545454545455;-1.0130578586469625;66796.95276488768;1.383572590717771;25721.49;25611.959;26550.652;25566.965;26058.77;29285.371;29896.725;30118.87;29837.941;28913.799;29328.291;30821.473;[3615.224765625, 1619.054015624999, 2323.502656249999, 2224.60615625, 5503.0594687500015, -1217.5280937499992, -2239.550609375001, -2880.2051406249993, -1818.811406249999, -1506.3308281249992, -1319.921015625001, -7690.00965625];-1.5113375498422175;0.5278955457615655;10;338;-3.449846029628477;-2.870129281376164;-2.5713460670144603;False
1990-01_2018-02;2018-03_2019-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;10307.167545864717;0.3161034236999491;36.36363636363637;-29.68122129819834;285437.17038407666;5.980437020415328;30043.854;29562.482;30623.492;30995.5;30659.828;33737.816;36150.918;41920.402;40784.734;40286.97;45280.035;43900.473;[-4604.055515625001, -2594.620421874999, -5913.792187499999, -2284.0679999999993, 2077.3048750000016, -4018.0554062500014, -7101.97296875, -14821.04834375, -15191.695375, -13043.121749999998, -13812.97715625, -18012.84865625];-4.642344264145009;0.00010784326155565129;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;True
1990-01_2017-02;2017-03_2018-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;8508.416714698302;0.20422153032507742;45.45454545454545;-16.654149755027742;201716.45501159283;0.646929154001087;39482.43;39559.258;39904.227;42368.402;43581.82;44729.004;43763.58;43731.992;43311.652;41216.625;44252.883;43809.023;[-1991.1796875, -5658.5798125, -1171.466562499998, -4018.1503437499996, -514.5263124999983, -3011.5949062500003, -4276.022125000003, -3801.6151874999996, -6922.175343750001, -4067.7379999999976, -16249.662812499999, -21086.2524375];-4.174991436279739;0.0007261551243889924;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;True
1990-01_2016-02;2016-03_2017-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;9736.305661280989;0.1881556509197548;45.45454545454545;-16.844722319881377;230758.28067111364;0.5204257268750462;45800.707;45415.3;44919.87;43916.594;46608.6;47837.17;48409.77;49032.457;51435.88;50562.08;53257.59;52449.56;[-254.6960312500014, -1178.149781250002, -450.0400937500017, 67.34825000000274, -359.60256249999657, -2428.792874999999, -8376.95153125, -9985.08603125, -14259.549906250002, -11816.929125000002, -14008.376843749997, -20512.80059375];-3.118880066064725;0.025187164439717438;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;True
1990-01_2015-02;2015-03_2016-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;4985.400363299586;0.07740156479710075;27.272727272727273;4.350776770679246;157168.92250685534;0.18956673161671375;43998.82;43667.793;43309.668;42943.21;43328.184;45659.855;45577.957;45465.406;48474.04;49467.52;49679.316;51208.395;[242.0476875000022, 1247.8120312500032, 3613.6110312500023, 5236.034062500003, 11813.383406250003, 6560.878531249997, 3167.1139687500036, 3692.208749999998, -3476.089062500003, -298.9645312499997, -535.214406250001, -6118.622531250003];-3.338252778894347;0.013252794930681922;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;True
1990-01_2014-02;2014-03_2015-02;DF;querosenedeaviacao;ARIMA;{'subsample': 0.9, 'n_estimators': 50, 'learning_rate': 0.3};12;12;7163.986122634059;0.1423117976656988;63.63636363636363;11.404846528428381;113247.23263865344;0.36634817225227456;36466.49;36433.625;37294.13;35590.94;38750.426;39661.62;44586.81;46939.61;41655.363;42104.145;40138.445;45578.957;[4375.203718750003, 6484.517999999996, 9853.166093749998, 9699.75159375, 10351.382218749997, 9769.57790625, 2806.76340625, 1763.4816250000003, 2475.68971875, 4544.698468750001, 8012.786687500004, -7677.193031249997];-0.8414652485653771;0.806637597185337;10;278;-3.4540935579190495;-2.8719934111688965;-2.5723401594120388;False
1990-01_2013-02;2013-03_2014-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;7792.065530377717;0.16054257732181945;36.36363636363637;16.26793122493875;215259.22681909808;0.5344140133621113;33008.785;32501.492;33153.35;33313.9;34519.875;35433.113;36138.61;36123.17;34678.24;33828.76;33797.93;33909.734;[-1433.619156249999, -85.41418749999866, 7334.993437500001, 8617.651562500003, 13320.32, 10762.018718749998, 6482.478625000003, 6981.993125000001, 6310.240718749999, 8296.246281250002, 9684.7673125, 3464.466625000001];-1.2490406704623234;0.6521521802132035;10;266;-3.455175292841607;-2.8724677563219485;-2.57259315846006;False
1990-01_2012-02;2012-03_2013-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;2767.141092199918;0.06473991724963399;54.54545454545455;-5.167887059027934;54542.81156748248;0.35107233801177223;34037.88;34221.34;35176.08;34882.387;36068.867;35868.758;36337.793;37444.062;36383.652;36642.832;34754.277;36463.36;[849.2440937499996, -741.862843750001, -2859.4861249999994, -753.3367187499971, 1263.1928124999977, -11.104812500001572, -2463.967968750003, -2516.915500000003, -3837.487343749999, -2214.4920312500035, -868.4983437499977, -6890.771375];-1.1030209973413143;0.7138656638638616;10;254;-3.456360306409983;-2.8729872043802356;-2.572870232500465;False
1990-01_2011-02;2011-03_2012-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 150, 'subsample': 0.9};12;12;2818.803507240215;0.06865650681632104;36.36363636363637;6.241017192596235;77758.82026992597;0.3202942956875217;32694.297;32244.365;32444.898;33168.785;33219.992;34514.938;33354.887;34639.19;34917.543;32687.78;33818.15;33952.1;[2645.305124999999, 2140.756765625003, 3185.2145624999976, 2152.8578437499964, 5553.609812499999, 3529.8634999999995, 2427.6602812499987, 986.7385937500003, 182.45803124999657, 3569.467703125003, 1909.8455624999988, -1547.6965625000012];-1.1751156946067378;0.6842076822223302;10;242;-3.457664132155201;-2.8735585105960224;-2.5731749894132916;False
1990-01_2010-02;2010-03_2011-02;DF;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.8};12;12;4340.6336207318045;0.11617114496922236;27.272727272727273;11.816138706997657;136916.51637059994;0.6794975136748539;29427.729;29240.846;29550.469;29498.137;29311.701;30019.045;29662.092;29625.61;29978.316;29831.594;30620.193;31107.86;[2514.6744843749984, 3476.0582968749986, 3449.4642499999973, 3649.501281249999, 6518.786828124998, 5715.194078125001, 3975.7852031250004, 3356.7816250000033, 2483.171593750001, 6704.60325, 5341.231640625003, 767.7846250000002];-1.4308537003959751;0.567398381159329;10;230;-3.459105583381277;-2.8741898504150574;-2.5735117958412097;False
