train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;2713.394021413067;0.34778256664124135;36.36363636363637;17.573643088372446;75186.73700197965;1.6367845751623544;1641.3484;2007.3816;2812.4907;3604.8247;4881.842;5172.923;5781.742;6046.7354;7153.0483;6962.9424;6350.335;6138.619;[6497.091611328125, 4679.566408203125, 2064.24627734375, 655.09029296875, -1519.5797968749998, -733.8838515625002, -1957.9821874999998, -1238.4493515625, -843.6363398437497, 310.21561718750036, 2482.7090390625, 2088.6188593749994];-2.007263660943913;0.28339734693208607;14;382;-3.4475850438570115;-2.869135963767125;-2.5708164748773332;False
1990-01_2022-02;2022-03_2023-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;2776.551832652819;0.533689468929175;54.54545454545455;20.597674457800906;55301.34105104213;inf;2335.4912;1597.6744;3312.3513;2837.3403;3686.6428;5266.907;6633.3623;4617.3877;3826.565;4104.9697;3537.772;3599.0686;[4480.0027890625, 2925.6145615234373, 208.55068164062504, -500.1113320312502, -1335.0698222656251, -2861.6492265625, -3658.6393046875, 890.9953046874998, 2045.5220585937504, 2788.3512734375, 4887.59602734375, 1894.4683964843753];-1.9571690135525037;0.30566279542911123;14;370;-3.448147967010838;-2.8693833397824413;-2.5709483564645725;False
1990-01_2021-02;2021-03_2022-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 150, 'subsample': 0.8};12;12;1512.7707335924179;0.30194386302228005;72.72727272727273;13.005204948315763;18066.324959797512;1.538983667683332;1853.551;1349.9338;2127.603;2535.3074;2881.8252;2465.652;2534.1243;2792.2063;4295.765;6449.2573;7215.2754;5461.366;[3888.5619746093753, 2333.037162109375, 1073.7949726562501, -204.35937304687513, -1064.8171953125, -697.558099609375, 241.41873242187512, 1209.635701171875, 1227.9708632812499, -485.67932421874957, -760.9733906250003, -487.9822109375];-1.7754930604666717;0.3926947798642685;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;False
1990-01_2020-02;2020-03_2021-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.8};12;12;1586.902696340337;0.6087351636645135;54.54545454545455;-6.860966068985928;31664.31969371269;0.9994489762935524;2181.9824;1633.8912;2341.0957;2621.1013;3405.7495;3357.7773;4312.2505;4809.3687;4982.689;4693.7695;5273.716;3853.865;[2827.437578125, 1628.9787646484374, 357.49829687500005, -1162.316318359375, -2100.4715117187498, -1985.22434375, -2508.40748828125, -1238.12565234375, -618.6759648437501, 344.73046875, 951.3151796875, 712.4630097656254];-1.702576324148465;0.42978556841173277;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;False
1990-01_2019-02;2019-03_2020-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 100, 'subsample': 0.7};12;12;1101.0465083277404;0.27781592218949697;45.45454545454545;10.62447806152154;26144.494660065673;0.6857844817816339;1635.7422;2493.6067;2221.1062;2911.5522;2730.6392;2777.1743;3001.4575;3325.1033;3831.7935;4060.579;4402.8867;4341.9814;[2600.4588125, 1495.543310546875, 1189.098798828125, -1045.93424609375, -188.40616015624983, -935.1113164062499, -828.2865195312502, 176.300728515625, 363.98954296875036, 1043.0228984374999, 261.7932812500003, 353.09955468750013];-1.8792814748495126;0.3418696422713372;7;341;-3.449673193310592;-2.8700533746644323;-2.5713055939491403;False
1990-01_2018-02;2018-03_2019-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.9};12;12;1624.411670141426;0.5545073367322111;45.45454545454545;-42.308896772268504;38769.90786120845;0.8749060604515577;3454.4976;3525.586;3689.408;3622.5393;4422.77;4413.8594;5049.4575;4782.807;5269.0767;5253.1465;5361.1665;5113.2437;[296.0154414062499, 144.4760624999999, -1301.2679589843751, -1216.816306640625, -2133.09601953125, -2681.861375, -2841.94051953125, -1765.30712890625, -1319.74166015625, -1121.6354843749996, -703.37650390625, -1397.20565234375];-1.647357773446087;0.4584187860321533;7;329;-3.4503836022181056;-2.8703653471616826;-2.571471939191249;False
1990-01_2017-02;2017-03_2018-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.7};12;12;746.1025717223523;0.14517868189750974;63.63636363636363;4.974511675852005;11797.257866981507;0.35737633227574045;3522.896;3602.426;3692.1646;3786.2637;4288.995;4316.7666;4886.5557;5085.615;4717.7993;4583.059;4556.2075;4504.59;[1036.6700039062498, 863.3669746093747, 1076.0564492187495, 565.2423281250003, 225.36588281249988, -3.7936015625000437, -449.76566406250004, -236.64823437500036, 585.56668359375, 654.23091796875, -104.2065195312498, -1513.83084375];-1.6038611812819525;0.48165360237995847;7;317;-3.451148243362826;-2.8707010565250752;-2.571650950153748;False
1990-01_2016-02;2016-03_2017-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.9};12;12;2140.8789149407953;0.48686396283312666;45.45454545454545;-46.14015479643603;51027.9863194057;1.304132587437592;5439.9414;5574.9434;5669.4;5663.602;6270.213;6254.791;6552.4775;6470.0933;6638.9146;6992.136;6698.5054;6827.179;[117.91459374999977, -971.010359375, -1423.99790234375, -1723.40305078125, -2458.359890625, -2320.922015625, -2681.8475390625, -2605.65726171875, -2479.61455078125, -2261.03823046875, -1981.94737109375, -2905.99919921875];-1.2832498003434278;0.6368002868115699;7;305;-3.451973573620699;-2.8710633193086648;-2.5718441306100512;False
1990-01_2015-02;2015-03_2016-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.4, 'n_estimators': 100, 'subsample': 0.9};12;12;1115.4151297798917;0.14438058704362303;63.63636363636363;-12.299030048582944;17635.24104932826;0.4432607412244462;6336.411;6382.2656;6168.597;6465.929;7102.072;7081.657;7412.5796;6839.005;7207.6724;7480.6543;7984.059;7859.853;[531.4258671875004, -422.4386249999998, 13.862832031250036, -214.57919921874964, -741.0357773437499, -914.5202265625003, -1166.38758984375, -501.42688281249957, -642.6613632812496, -754.0622968750004, -1636.1050820312503, -2786.91102734375];-0.872064403935825;0.797032774379088;9;291;-3.4530232710482367;-2.871523926671883;-2.5720897694878424;False
1990-01_2014-02;2014-03_2015-02;MT;querosenedeaviacao;ARIMA;{'subsample': 0.7, 'n_estimators': 100, 'learning_rate': 0.2};12;12;1085.749023200833;0.12357818784651521;45.45454545454545;2.9822309818149377;25705.18829118556;0.3724438765720831;5697.504;5805.2524;5773.066;5772.961;6650.5283;6770.7056;7180.7744;6949.489;7707.077;8202.969;7857.13;7648.6436;[1721.3960937499996, 2131.5225585937496, 1115.9260820312502, 1208.7020624999996, 121.43267968750024, -105.74856640624967, -697.8604140625002, -222.27776953124976, -921.4481484375001, -562.3937500000002, 203.04711718749968, -1471.2035546875004];-1.0231045154977658;0.7447444693809571;7;281;-3.4538376962008495;-2.8718811911083093;-2.5722803076202174;False
1990-01_2013-02;2013-03_2014-02;MT;querosenedeaviacao;ARIMA;{'learning_rate': 0.3, 'n_estimators': 50, 'subsample': 0.9};12;12;821.1186722452466;0.08884161951031276;45.45454545454545;6.099007470294161;19427.585396090108;0.3000068380555784;5924.9097;5821.3413;5833.6445;5877.2363;6370.8877;6206.051;6689.823;6446.7944;6640.557;6894.012;7093.673;7093.951;[1330.0003320312499, 1506.7016914062497, 411.64046874999985, -114.98032812499969, 91.44030468750043, -149.50378125000043, -1012.6682421875003, 122.52356640625021, 542.6538710937502, 1103.0157929687502, 1133.9761484374994, 29.505828125000335];-1.1677796885804488;0.6873002908237977;7;269;-3.4548957220044336;-2.8723451788613157;-2.572527778361272;False
