dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test
54;12;FT_rf_normal;0.27450951509952076;36.36363636363637;0.33590254118198853;1970.1591157889397;0.33589911828971514;1657.1815979305186;[5774.5, 6791.0, 6019.0, 6008.5, 5184.0, 5166.0, 6521.4, 7060.7, 5030.5, 4051.5, 4143.5, 4403.0];"[3820.94791469 3487.78208168 3666.212195   3759.65518862 3678.48002087
 3904.76211723 3879.48230619 4003.92881248 4101.75408629 4082.17766453
 3967.83805627 3975.75571005]";2023-12-31;2024-11-30
20;12;FT_rf_normal;0.050607419781852646;72.72727272727273;0.05209293266007841;49296.76343851116;0.05209292958028696;44077.703091159754;[902707.043, 833596.031, 821232.526, 894427.795, 862594.276, 899209.875, 797496.864, 810041.219, 873363.838, 868765.928, 883228.442, 847121.538];"[807355.84799539 792712.76886526 800811.56457613 825709.91482805
 819262.73663497 838071.42312216 824510.31681126 827542.35541029
 828574.85624465 832778.21025679 829244.18698407 827307.93462016]";2023-12-31;2024-11-30
34;12;FT_rf_normal;0.06383939447438901;45.45454545454545;0.06378006171944174;674.2952128922145;0.06377968570210323;543.4835424096497;[8408.84, 7804.226, 7525.529, 7259.227, 8189.988, 8270.913, 7851.882, 9242.031, 9893.182, 9020.286, 9430.044, 9160.01];"[9330.44624679 8240.10391912 8077.62831223 8214.90663872 8154.97762284
 7997.42882302 8132.87984676 8235.00462133 8532.50064789 8729.0290727
 9155.3898783  9293.43821137]";2023-12-31;2024-11-30
32;12;FT_rf_normal;0.7699772696924131;72.72727272727273;1.3196835342459543;337.2915710088278;1.3191368679612274;247.96049946512747;[70.0, 85.0, 50.0, 115.724, 90.0, 454.146, 430.484, 846.662, 486.026, 212.0, 283.5, 231.0];"[39.94340248 34.26930212 27.55537498 32.48067159 28.71389129 29.53063954
 29.42270594 29.87197864 30.83068868 32.74624705 32.97878031 30.6723238 ]";2023-12-31;2024-11-30
14;12;FT_rf_normal;0.04462531527747093;54.54545454545455;0.044806255958338446;2107.0086239904667;0.04480619407949843;1624.661988870784;[39591.8, 36888.912, 32664.5, 35135.5, 36271.5, 35768.852, 33415.501, 36281.4, 36915.5, 36540.0, 39918.4, 36132.689];"[35884.55406297 35454.70453627 36184.6057381  35760.95489535
 35326.28521015 37145.18702768 35822.12266094 35894.47022364
 36343.44564549 35935.50151604 36010.86480236 36122.94845869]";2023-12-31;2024-11-30
50;12;FT_rf_normal;0.11267809793297846;54.54545454545455;0.11734900111082626;92.43317579606051;0.1173396549864526;74.30821558577873;[620.162, 576.461, 550.319, 625.159, 673.028, 719.72, 704.046, 817.093, 568.598, 623.261, 695.177, 479.801];"[607.48344058 542.48628923 558.01477698 580.86622712 588.16713454
 618.51019402 599.52786783 608.64213905 619.64239445 600.1541148
 590.7241088  595.21393157]";2023-12-31;2024-11-30
46;12;FT_rf_normal;0.16120967881501924;72.72727272727273;0.15548536130075938;13731.081456221891;0.1554852584169434;11953.40369582474;[58092.217, 52348.895, 79046.898, 80050.01, 84714.847, 88829.722, 90299.168, 91205.356, 102463.176, 90029.361, 97784.738, 89435.74];"[77601.4116941  78705.76515312 62457.41196401 71010.83402988
 75142.89557044 78809.15339007 80271.6382076  82122.43602986
 83427.38607233 86812.60906596 88964.54360929 87265.32855788]";2023-12-31;2024-11-30
48;12;FT_rf_normal;0.25078755971751493;63.63636363636363;0.3016932849532334;357.5718104080344;0.30167727203364497;288.27061090720645;[701.811, 782.71, 835.651, 984.415, 810.853, 903.126, 859.974, 1246.278, 1157.116, 1433.667, 1319.535, 1209.55];"[748.88669672 707.57311756 719.3386377  766.64807897 720.69922895
 729.55473004 738.64929314 711.53840871 763.66234062 771.5805456
 753.82857674 747.63040779]";2023-12-31;2024-11-30
56;12;FT_rf_normal;0.2080463785302237;27.272727272727273;0.195717339773961;414.91843688330397;0.19571178091172473;348.85557641436844;[2322.7, 2180.776, 2368.424, 2130.305, 2007.879, 1225.232, 1453.154, 1847.526, 1366.362, 1411.05, 1556.955, 1839.342];"[1905.33298005 1778.21894022 1627.80806722 1841.44386716 1896.98077846
 1935.61965099 1893.20470282 1861.2799833  1886.20872052 1689.34449782
 1736.02068132 1754.77368667]";2023-12-31;2024-11-30
2;12;FT_rf_normal;0.06058226758294347;63.63636363636363;0.058074353414064896;5951.783902028547;0.058074318488708455;4836.656357638116;[93130.2, 85161.9, 72440.6, 82384.8, 81450.828, 83151.625, 76231.5, 83911.1, 83812.025, 81287.9, 85070.866, 81789.2];"[87918.40696615 84229.36421205 84439.6443259  86371.97395405
 84563.98393694 90634.27326563 87115.33076189 85453.1134302
 86173.77117305 86068.01963901 86251.75948275 86354.12150042]";2023-12-31;2024-11-30
