dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test
18;24;svr_normal;0.5817814593225429;86.95652173913044;0.6625661536925698;29.183875370346826;0.6491423475581427;20.619753656130243;[4.0, 1.0, 2.0, 6.0, 2.0, 7.0, 10.0, 17.0, 34.0, 48.0, 85.0, 136.0, 172.0, 174.0, 187.0, 127.0, 177.0, 195.0, 132.0, 119.0, 86.0, 45.0, 40.0, 11.0];"[-1.20300269e-01 -7.37048479e-01 -2.16939643e+00 -8.81121300e-01
 -3.20721203e-01  7.53586569e+00  1.49322628e+01  3.09320681e+01
  4.64668123e+01  5.36108777e+01  6.94019611e+01  8.91307978e+01
  1.09439100e+02  1.14511781e+02  1.21756903e+02  1.31474921e+02
  1.43268304e+02  1.45710071e+02  1.41563248e+02  1.27278349e+02
  1.06186070e+02  8.04859073e+01  5.19318565e+01  2.64661800e+01]";2020-02-29 17:00:01;2020-03-01 16:00:01
18;24;svr_normal;1.5593831812064611;69.56521739130434;0.6348667880102662;37.534863447019156;0.632020233798298;27.17468623811625;[11.0, 18.0, 1.0, 1.0, 2.0, 10.0, 4.0, 14.0, 31.0, 38.0, 57.0, 96.0, 156.0, 176.0, 153.0, 153.0, 146.0, 154.0, 103.0, 80.0, 52.0, 28.0, 22.0, 7.0];"[ 10.85283995   6.29496853   4.53335179   8.85500204  13.44553468
  14.27724685  19.75920324  31.375491    40.60224556  49.46549355
  83.10625365 125.36841479 146.42697242 138.78320156 140.76825404
 152.30610698 169.36718871 186.30808349 184.09173285 162.14816798
 134.89169532 100.02693579  63.49549874  35.50727317]";2020-02-28 17:00:01;2020-02-29 16:00:01
12;24;svr_normal;2.2262762983353097;30.434782608695652;1.4225023646804698;1884.290834865988;1.4221785463827044;1214.9268305662192;[62.0, 15.0, 16.0, 13.0, 6.0, 155.0, 880.0, 3050.0, 5464.0, 2943.0, 1069.0, 1013.0, 1149.0, 1203.0, 1107.0, 1363.0, 2626.0, 4678.0, 2344.0, 766.0, 409.0, 267.0, 219.0, 99.0];"[111.30582443 111.31102291 111.31222746 111.31234249 111.31234273
 111.31234273 111.31234273 111.31234273 111.31234273 111.31234273
 111.31234273 111.31234273 111.31234273 111.31234273 111.31234273
 111.31234273 111.31234273 111.31234273 111.31234273 111.31234273
 111.31234273 111.31234273 111.31234273 111.31234273]";2017-04-25 20:00:01;2017-04-26 19:00:01
0;24;svr_normal;0.5077953720143699;82.6086956521739;0.4585201872095703;82.51565152321281;0.4538655221635734;56.03824975645844;[6.0, 13.0, 2.0, 3.0, 10.0, 10.0, 63.0, 72.0, 132.0, 214.0, 313.0, 326.0, 523.0, 563.0, 523.0, 438.0, 511.0, 424.0, 296.0, 207.0, 88.0, 25.0, 32.0, 27.0];"[ 1.73544517e+01  7.59061500e+00 -6.06671999e-02  4.45797088e+00
  1.64291183e+01  2.44484030e+01  3.70851843e+01  8.44259792e+01
  1.54450415e+02  1.92732965e+02  2.43802844e+02  3.06838014e+02
  4.03698831e+02  4.14578729e+02  3.64657647e+02  3.16905954e+02
  2.98096612e+02  2.79201919e+02  2.11612387e+02  1.44047475e+02
  1.00424306e+02  7.18994224e+01  4.96678381e+01  3.11485989e+01]";2018-12-12 19:00:01;2018-12-13 18:00:01
16;24;svr_normal;2.0153167257210876;86.95652173913044;0.6314094536091087;42.48072480969155;0.6297882429174382;33.780575669102404;[20.0, 3.0, 4.0, 1.0, 3.0, 44.0, 90.0, 119.0, 200.0, 152.0, 158.0, 165.0, 242.0, 203.0, 144.0, 113.0, 125.0, 169.0, 52.0, 34.0, 25.0, 20.0, 16.0, 12.0];"[  5.15135522  10.11151223  17.06432563  24.08377876  31.04953848
  44.5276475   62.94563229  89.80347919 107.24398667 104.49668161
 108.43438246 123.12140655 138.13314839 134.02867407 114.47761822
 106.02941932 106.82158945 100.40260292  79.66087859  62.01220967
  50.43384274  43.67031951  36.38279491  26.82694442]";2019-08-09 19:00:01;2019-08-10 18:00:01
14;24;svr_normal;4.676807603776914;39.130434782608695;0.7872539335975434;396.0451088500646;0.7871154639919373;335.384523484962;[68.0, 35.0, 26.0, 26.0, 16.0, 25.0, 67.0, 290.0, 658.0, 524.0, 631.0, 671.0, 1117.0, 1144.0, 1080.0, 1131.0, 1197.0, 1337.0, 1028.0, 802.0, 668.0, 445.0, 310.0, 121.0];"[197.00487973 211.98783836 281.36230086 433.28968628 594.98457045
 636.72909861 638.69764831 638.76367131 638.76615876 638.76633383
 638.7670357  638.76785442 638.76543917 638.76324538 638.76348654
 638.76535848 638.76641809 638.76653896 638.76653976 638.76653976
 638.76653976 638.76653976 638.76653976 638.76653976]";2019-06-12 20:00:01;2019-06-13 19:00:01
8;24;svr_normal;1097036631962235.4;82.6086956521739;0.4713426820882029;40.59461739483217;0.4689493346252651;28.601849619736885;[12.0, 5.0, 0.0, 3.0, 4.0, 18.0, 183.0, 220.0, 240.0, 129.0, 101.0, 104.0, 136.0, 128.0, 120.0, 198.0, 252.0, 239.0, 108.0, 58.0, 41.0, 36.0, 26.0, 11.0];"[ 13.21415431   9.97583782   5.84618557   5.18114787  13.25584325
  48.45826025 104.62716656 160.82199657 157.19559937 107.24581348
  90.18926337 103.44995832 124.51751335 116.96034464 122.7714231
 150.38681043 172.64499896 142.77687669  91.32559958  65.04452442
  60.33966     60.94296549  54.5145239   45.0418062 ]";2020-04-29 16:00:01;2020-04-30 15:00:01
16;24;svr_normal;1.1017741593370916;65.21739130434783;0.6940481199768295;42.12929423720229;0.6904797315541686;34.3243688120337;[4.0, 7.0, 7.0, 7.0, 13.0, 66.0, 97.0, 140.0, 210.0, 138.0, 138.0, 160.0, 182.0, 188.0, 103.0, 80.0, 94.0, 109.0, 44.0, 34.0, 19.0, 12.0, 23.0, 5.0];"[ -0.75143036  -1.31052117   4.00643635  13.51532576  19.04766931
  29.22149642  53.15646995  92.62276811 122.59866979 126.5771995
 130.78727519 145.8974519  166.31132136 165.36664671 150.93874028
 150.69890646 155.53484934 145.37128346 114.69377312  92.46342822
  75.77148375  61.59201497  48.95337463  35.68778593]";2019-08-08 19:00:01;2019-08-09 18:00:01
10;24;svr_normal;2356754933244411.5;60.869565217391305;1.0636853501959804;18.546494885796736;1.0558602472306393;13.588680614980895;[0.0, 0.0, 2.0, 6.0, 2.0, 2.0, 19.0, 24.0, 29.0, 34.0, 42.0, 43.0, 33.0, 44.0, 24.0, 11.0, 10.0, 36.0, 48.0, 44.0, 36.0, 12.0, 4.0, 1.0];"[ 6.72775897  5.83155427  5.08669984  8.56580857  6.80014716  3.90471676
  3.09534006  6.9922292  14.45073147 26.98562205 40.01603409 52.87605032
 39.38340038 20.59808335  3.50516782  1.93529689  1.69866299  2.43910829
  2.46737562  3.06048805  2.73150528  4.12195352  5.23026698  5.81953019]";2020-02-26 12:00:01;2020-02-27 11:00:01
14;24;svr_normal;0.8466709666163442;69.56521739130434;0.5455960935626257;145.53553021346016;0.5448292330485103;119.19022021263682;[54.0, 32.0, 27.0, 18.0, 13.0, 29.0, 101.0, 369.0, 761.0, 570.0, 760.0, 880.0, 1380.0, 1368.0, 1252.0, 1309.0, 1373.0, 1477.0, 1323.0, 903.0, 734.0, 489.0, 331.0, 169.0];"[ -40.89800092 -124.25139751 -123.27404019  -37.44776594   -8.05444883
   24.66237271  141.84196364  394.31148242  664.37603586  787.195473
  909.18417368 1134.3696816  1433.333302   1585.01982798 1565.68272715
 1536.09714846 1557.84115757 1533.79229624 1357.96902698 1082.72676724
  830.73342926  615.33056744  409.9355944   194.31342122]";2019-06-11 20:00:01;2019-06-12 19:00:01
8;24;svr_normal;0.8715726754483873;65.21739130434783;0.3828901385723138;24.754468720103393;0.3809648047615944;18.21275398986289;[8.0, 4.0, 7.0, 3.0, 1.0, 40.0, 181.0, 202.0, 272.0, 137.0, 98.0, 75.0, 131.0, 105.0, 101.0, 174.0, 193.0, 194.0, 63.0, 29.0, 14.0, 29.0, 32.0, 18.0];"[  0.72682088   4.23385669   4.11937794   2.32596639  13.97798386
  67.66825786 151.70064559 273.20959272 299.92572866 108.06227263
  96.55930904 111.57835102 138.52892212 114.12512699 116.22788911
 173.07465909 229.21203043 171.9485669   99.99619846  54.78925438
  37.310613    29.5272056   26.56890931  11.11838736]";2020-04-28 16:00:01;2020-04-29 15:00:01
0;24;svr_normal;836572633694811.1;69.56521739130434;0.52225876505836;111.11075300066697;0.5196002258273245;69.7796102824472;[29.0, 10.0, 0.0, 15.0, 9.0, 10.0, 55.0, 97.0, 132.0, 183.0, 195.0, 308.0, 427.0, 435.0, 348.0, 412.0, 290.0, 320.0, 195.0, 110.0, 74.0, 57.0, 20.0, 35.0];"[ 17.60560791   6.79508357   4.45815456   2.35685707   5.56989045
  15.23022423  59.48683258 133.76337391 171.6436896  239.16170476
 329.0577348  518.34464477 511.27748473 371.2785382  390.30050835
 467.4030628  680.39187144 522.24455413 278.5264299  159.85397739
 138.74744615 102.63016358  60.3296314   65.4651349 ]";2018-12-11 19:00:01;2018-12-12 18:00:01
18;24;svr_normal;0.5988231505662519;65.21739130434783;0.39378707924682255;40.56908905702662;0.39265860554539933;28.47223649044364;[16.0, 11.0, 5.0, 12.0, 9.0, 4.0, 3.0, 22.0, 29.0, 32.0, 69.0, 147.0, 197.0, 189.0, 145.0, 183.0, 197.0, 161.0, 163.0, 142.0, 73.0, 38.0, 30.0, 16.0];"[ 13.04378862   7.00344342   9.77766274  10.01366754  10.16562611
  10.37203114  13.11877064  23.38172714  36.75603912  47.57311042
  69.86836012 114.81661722 150.02493565 156.39578608 178.4231461
 202.99871777 240.61963728 258.08354174 239.17341016 209.29069269
 156.40543931 101.06210708  52.96558915  23.59630556]";2020-02-27 17:00:01;2020-02-28 16:00:01
14;24;svr_normal;0.8003328551612704;82.6086956521739;0.42048648741835043;201.41489122615366;0.4201713687217623;149.25124302546092;[88.0, 31.0, 15.0, 12.0, 11.0, 28.0, 121.0, 368.0, 710.0, 609.0, 791.0, 952.0, 1505.0, 1596.0, 1503.0, 1518.0, 1600.0, 1731.0, 1498.0, 1035.0, 778.0, 555.0, 343.0, 158.0];"[ 106.34966776   71.33053325   48.50836244   70.9629964    56.86666114
   96.55481429  156.41644994  268.16566791  345.52145944  454.82629107
  667.44546582  901.81563103 1072.76205633 1165.02630853 1257.48507983
 1370.8299306  1405.75241285 1328.96509057 1189.76501018 1043.38008203
  861.15104929  630.05805392  418.5144375   244.29712882]";2019-06-10 20:00:01;2019-06-11 19:00:01
12;24;svr_normal;7.470960099670698;60.869565217391305;1.5535848326311115;1132.2993984429784;1.5529888798875877;894.5033880999335;[80.0, 49.0, 22.0, 21.0, 12.0, 27.0, 34.0, 82.0, 138.0, 143.0, 172.0, 209.0, 267.0, 195.0, 164.0, 236.0, 201.0, 235.0, 213.0, 183.0, 146.0, 127.0, 131.0, 85.0];"[ -71.20014218   12.42250543  144.88976254   -9.88880987  149.87303093
  301.13504996  612.86936889 1843.2128861  3009.72417447 1928.68237398
 1121.7155569  1018.79548811 1222.13467184 1290.57425992 1072.76268344
 1094.75913067 1817.52916014 2301.43484132 1466.03972302  835.60879511
  674.34917375  727.34082674  848.78283625  789.20107371]";2017-04-24 20:00:01;2017-04-25 19:00:01
18;24;svr_normal;1.5204688913638778;65.21739130434783;0.8523074656600581;40.878723953590175;0.8458816373475987;32.660164445351285;[2.0, 30.0, 7.0, 1.0, 3.0, 1.0, 5.0, 10.0, 26.0, 38.0, 65.0, 106.0, 208.0, 208.0, 200.0, 212.0, 202.0, 226.0, 215.0, 92.0, 76.0, 41.0, 42.0, 21.0];"[ -2.02570785  -6.04736112  -8.98726935  -8.17577327  -9.73446571
  -5.01853176   2.16855107  20.15511402  44.28602361  71.44356657
  97.40334974 116.43514397 128.67437678 147.11621376 160.43906685
 183.59184495 187.94522088 196.45166545 186.27385391 174.4567645
 149.43112912 117.82356136  86.10671274  55.97426566]";2020-02-26 17:00:01;2020-02-27 16:00:01
12;24;svr_normal;0.9703110865320993;52.17391304347826;1.0455704514508641;1474.9593412267382;1.0453505502476155;945.898096460473;[52.0, 29.0, 28.0, 13.0, 12.0, 101.0, 577.0, 2068.0, 4828.0, 2366.0, 1000.0, 961.0, 1116.0, 1248.0, 1086.0, 1199.0, 2228.0, 3404.0, 1380.0, 548.0, 329.0, 226.0, 228.0, 197.0];"[  33.72147514   36.24307006   59.68990922   14.20218257   70.75543767
  365.87394402 1913.80456696  202.35293337  202.35288806  202.35288456
  202.35288339  202.3528833   202.35288369  202.35288387  202.35288931
  202.35288778  202.35288375  202.35288405  202.35288392  202.35288396
  202.35288456  202.3528836   202.35288379  202.35288464]";2017-04-23 20:00:01;2017-04-24 19:00:01
8;24;svr_normal;1.9553085382367392;82.6086956521739;0.583063660897999;38.18215510550336;0.5813978578813793;29.187028388167267;[3.0, 3.0, 3.0, 1.0, 4.0, 16.0, 72.0, 185.0, 284.0, 132.0, 98.0, 95.0, 152.0, 131.0, 112.0, 176.0, 242.0, 276.0, 116.0, 71.0, 59.0, 33.0, 48.0, 13.0];"[ 14.51355574  24.82861864  25.19221916  15.9163603   20.80069107
  37.59034567  78.81164942 168.36867364 212.66115376 127.01402081
  78.91713839  89.02212267 116.21981614 102.81519609  73.64738974
  98.93535394 168.87318486 184.71245932 105.64102918  60.92083784
  56.01780167  63.52383963  68.7759507   61.30162903]";2020-04-27 16:00:01;2020-04-28 15:00:01
12;24;svr_normal;0.441170030984296;69.56521739130434;0.33557263539409893;45.01469567377782;0.3351659498424959;36.8427016000229;[116.0, 70.0, 49.0, 32.0, 14.0, 13.0, 12.0, 66.0, 206.0, 247.0, 287.0, 305.0, 261.0, 278.0, 298.0, 247.0, 261.0, 251.0, 249.0, 214.0, 175.0, 135.0, 153.0, 91.0];"[129.40965624  47.33577302  43.66565509  24.55492708  16.99070933
 -27.56129389  34.42233342 111.74219497 196.94933766 257.96140815
 257.16801444 250.03451934 238.47879754 222.1714965  215.62402028
 206.73994457 202.22382618 200.30320787 199.87901185 199.76416082
 199.74962762 199.75478829 199.77056561 199.7549531 ]";2017-04-22 20:00:01;2017-04-23 19:00:01
0;24;svr_normal;0.5775429120977493;82.6086956521739;0.5766372322666915;30.32069279830429;0.5740357710941689;24.228521221017743;[15.0, 20.0, 27.0, 10.0, 3.0, 7.0, 39.0, 84.0, 134.0, 230.0, 339.0, 352.0, 516.0, 554.0, 593.0, 541.0, 526.0, 418.0, 259.0, 169.0, 67.0, 37.0, 51.0, 21.0];"[  9.57568892   2.86707786   5.26780639   1.55629916  -7.50015511
 -12.87363468   9.94946146  78.53969785 172.1629301  257.09194145
 338.97933311 441.09274012 539.42649239 582.27729858 573.25564357
 542.49936948 482.95834605 395.31946492 291.85901543 194.93204755
 115.36531235  67.87387831  33.92352441   5.27796255]";2018-12-10 19:00:01;2018-12-11 18:00:01
2;24;svr_normal;1.427194719180406;56.52173913043478;0.7189073566904135;147.24866707865507;0.7185783872471575;114.7676745443897;[68.0, 35.0, 26.0, 15.0, 10.0, 23.0, 65.0, 77.0, 108.0, 132.0, 195.0, 225.0, 344.0, 383.0, 382.0, 345.0, 407.0, 428.0, 369.0, 309.0, 231.0, 122.0, 116.0, 139.0];"[ 81.80471026  83.25748219  93.74654961 105.69695736 118.23339308
 129.4678448  134.12007813 134.98686842 136.09129346 136.44159411
 137.03439466 135.86606958 136.03055032 134.8051555  135.90294874
 135.71062056 136.01083127 136.01972741 136.02122521 136.02104755
 136.0209252  136.02100152 136.02106991 136.02115778]";2019-10-29 10:00:01;2019-10-30 09:00:01
13;24;svr_normal;895062083469488.4;86.95652173913044;0.45368675049328616;15.97752012051042;0.44903095825006173;12.194715927947941;[4.0, 0.0, 3.0, 5.0, 6.0, 28.0, 76.0, 78.0, 121.0, 82.0, 89.0, 70.0, 115.0, 84.0, 103.0, 128.0, 123.0, 171.0, 109.0, 54.0, 29.0, 26.0, 17.0, 8.0];"[  0.81042636  -4.76984896  -3.95603236  12.56839212   3.96984993
  25.69763108  55.27086454  74.40218621 101.22320311 100.18809984
  92.16785758  87.0956772  100.64809964 104.03693418 105.32871156
 114.51429902 111.72820795 120.47323049 113.77249212  73.33134237
  48.56981565  34.90644251  27.60976574  16.10976838]";2019-09-13 18:00:01;2019-09-14 17:00:01
0;24;svr_normal;1504532388948059.0;82.6086956521739;0.6902140936383881;75.65073864627723;0.6866205936569996;51.314319411535564;[21.0, 13.0, 0.0, 6.0, 6.0, 13.0, 49.0, 84.0, 153.0, 224.0, 278.0, 334.0, 524.0, 646.0, 580.0, 603.0, 540.0, 406.0, 229.0, 187.0, 65.0, 62.0, 43.0, 32.0];"[  7.20605859  -2.78755731  -8.0177592   -8.33054632  -7.18014373
  -2.64893685  12.53941742  46.19834302 102.53282277 176.59311018
 274.84995574 363.79755181 420.83664812 444.85415207 447.61106025
 435.01356109 394.48943948 332.58433322 257.05238129 180.43797525
 120.89632642  79.57237231  49.14515504  24.1381872 ]";2018-12-09 19:00:01;2018-12-10 18:00:01
14;24;svr_normal;0.31619766080858974;91.30434782608695;0.292583973072808;172.50794699747158;0.292495903066611;127.18004334515358;[306.0, 225.0, 143.0, 170.0, 31.0, 45.0, 66.0, 164.0, 205.0, 361.0, 579.0, 760.0, 1131.0, 1224.0, 1364.0, 1544.0, 1555.0, 1294.0, 1143.0, 949.0, 770.0, 526.0, 373.0, 164.0];"[ 253.78550428  120.38478712   61.98898642   49.9523716    42.5646511
   40.5880859    74.1974234   166.24928493  295.64903157  402.46507177
  615.92666883  834.46566441 1079.57727476 1276.23537281 1439.67022126
 1605.91693957 1631.56857423 1598.9303079  1457.49975564 1296.4814643
 1090.02005465  841.09601059  621.52844909  420.1331043 ]";2019-06-09 20:00:01;2019-06-10 19:00:01
16;24;svr_normal;5.886813558853386;69.56521739130434;0.8019907176146983;54.18218219623227;0.800710280048215;48.03332997869228;[16.0, 10.0, 2.0, 7.0, 1.0, 19.0, 76.0, 147.0, 226.0, 173.0, 172.0, 163.0, 216.0, 235.0, 162.0, 166.0, 177.0, 188.0, 57.0, 43.0, 30.0, 5.0, 15.0, 10.0];"[ -4.33282595  21.4209476   43.47329484  66.78882448  83.26841823
  83.93892947 106.59233262 136.15692206 167.40404817 148.99109309
 121.58367988 125.96074717 148.35403494 147.98793039 107.12004364
  84.73305767  93.40207925 102.35399115  81.98938499  52.12767618
  46.4401305   59.91503344  64.96610069  55.5936479 ]";2019-08-07 19:00:01;2019-08-08 18:00:01
